"indID","sex","min_age","broodID","pairID","mateID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
5597300,"M",5,"pir155","5597847_5597300",5597847,2013,8,58,7.25,"F",18.825683,0.442659,18.035401,0.200442,0.822395,NA,1
5597300,"M",6,"pir157","5118840_5597300",5118840,2014,6,36,6,"F",16.833937,0.355886,14.823565,0.193314,0.923371,127,1
5597300,"M",7,"pir153","6989039_5597300",6989039,2015,8,18,2.25,"C",8.452616,0.340843,10.927604,0.237613,0.786004,NA,1
5597319,"F",2,"pir30","5597319_5117537",5117537,2010,7,119,17,"F",12.553402,0.315859,13.474701,0.228634,0.595508,NA,1
5597333,"F",2,"pir120","5597333_5597334",5597334,2010,6,57,9.5,"F",11.129672,0.320943,21.963499,0.217341,0.723694,122,1
5597333,"F",3,"pir120","5597333_5597334",5597334,2011,6,81,13.5,"F",14.310259,0.317845,13.096825,0.173833,0.902556,NA,1
5597333,"F",4,"pir46","5597333_5563934",5563934,2012,7,77,11,"F",5.207538,0.306573,11.429323,0.203193,0.775495,NA,1
5597333,"F",5,"pir49","5597333_6000909",6000909,2013,8,68,8.5,"F",21.696295,0.367808,21.342772,0.210388,0.680333,NA,1
5597334,"M",3,"pir120","5597333_5597334",5597333,2010,6,57,9.5,"F",26.564257,0.347098,14.725964,0.22658,0.722587,122,1
5597334,"M",4,"pir120","5597333_5597334",5597333,2011,6,81,13.5,"F",14.2091,0.352913,11.251419,0.225605,0.846607,NA,1
5597335,"F",2,"pir122","5597335_5116804",5116804,2010,5,39,7.8,"F",12.397162,0.284939,22.359372,0.190552,0.609027,NA,1
5597335,"F",3,"pir125","5597335_4736747",4736747,2011,8,34,4.25,"F",6.358317,0.308262,15.595528,0.190523,0.745324,NA,1
5597336,"F",2,"pir127","5597336_5116592",5116592,2010,6,61,10.17,"F",12.66102,0.3101,13.469263,0.190295,0.840357,NA,1
5597337,"M",2,"pir15","5597338_5597337",5597338,2010,5,58,11.6,"F",23.527993,0.353681,17.427014,0.207256,0.812975,NA,1
5597339,"F",3,"pir113","5597339_5117389",5117389,2010,6,108,18,"F",10.19624,0.338352,22.296822,0.215611,0.744175,NA,1
5597683,"M",5,"pir110","5545066_5597683",5545066,2014,9,24,2.67,"F",10.168483,0.360559,14.503958,0.214842,0.884834,NA,1
