"indID","sex","broodID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
8860768,"M","pir158",2021,6,8,1.33,"C",10.1012307017415,0.395046195031117,12.2976916024978,0.244342355081257,0.791186858131792,123,1
8860780,"F","pir20",2021,5,8,1.6,"F",15.6199595876557,0.334287311700156,16.4321329726871,0.238542002872062,0.652624538989704,126,1
8860802,"M","pir18",2021,9,46,5.11,"F",11.6949715219035,0.334316569562023,16.7565852825843,0.212599692307921,0.685024839433512,124,1
8861017,"M","pir38",2021,4,19,4.75,"C",13.1493356994277,0.414708258120212,13.5171815601467,0.246981326446712,0.821639938493337,130,1
8861026,"M","pir62",2021,5,45,9,"F",17.7578858232163,0.342539459339401,12.8952153635453,0.200174851682762,0.729620266566677,130,1
8861060,"M","pir207",2021,9,21,2.33,"C",6.086582957793,0.377458398312405,18.8729623110129,0.240567553594119,0.813967161200634,124,1
8861067,"M","pir41",2021,7,30,4.29,"C",7.54262499814648,0.372124904817978,18.1650826972069,0.232311155980959,0.860140183694173,134,1
8861076,"F","pir134",2021,5,26,5.2,"F",15.5543587783525,0.383507010300457,17.2741789006322,0.218957303214662,0.640208803105705,135,1
8861552,"M","pir96",2021,6,76,12.67,"F",18.9732558459636,0.326114855355738,14.8421324454109,0.220975539318795,0.672515205205889,107,1
8861558,"F","pir230",2021,6,31,5.17,"F",9.47280582760802,0.296524905746988,14.3407821522509,0.248553174135062,0.554227013852085,123,1
8861568,"M","pir71",2021,3,29,9.67,"C",9.29247459134194,0.423373579787885,18.2417352258037,0.253977907695199,0.798929167428527,125,1
8863621,"M","pir47",2020,5,32,6.4,"F",18.422473455357,0.409990535458709,20.8552722378199,0.266801671061835,0.647863470579653,127,1
8863642,"F","pir51",2020,5,9,1.8,"F",7.39875848444338,0.403396104395374,16.5916424346065,0.246820484345165,0.612481815785224,126,1
8863682,"M","pir15",2020,6,51,8.5,"C",12.1563503114396,0.403115593901715,14.2062031561375,0.270023803831983,0.658737617370744,128,1
8863687,"F","pir75",2020,5,36,7.2,"C",11.4859050733489,0.367942604195965,17.6774554108856,0.250038909454454,0.689704693497808,129,1
8863880,"F","pir100",2021,7,40,5.71,"C",7.09333429348802,0.404091456801451,15.2830264056138,0.247383519540483,0.853953578285904,126,1
9974032,"M","pir41",2022,6,13,2.17,"F",23.5441489402294,0.342030221631964,29.9815826996816,0.245911755516635,0.34816206429281,130,1
9974629,"F","pir2",2022,5,2,0.4,"F",17.4255860867761,0.333185810780494,17.999554943197,0.215471773178522,0.844743931008221,132,1
9974722,"M","pir137",2022,6,105,17.5,"F",14.1762083828845,0.366929059780456,18.7131642663934,0.231948956254215,0.81143887066459,135,1
